"date_time","temperature"
2018-10-11 18:00:00,2.004
2018-10-11 19:00:00,2
2018-10-11 20:00:00,2
2018-10-11 21:00:00,2
2018-10-11 22:00:00,2
2018-10-11 23:00:00,2
2018-10-12 00:00:00,2
2018-10-12 01:00:00,2
2018-10-12 02:00:00,2
2018-10-12 03:00:00,2
2018-10-12 04:00:00,2
2018-10-12 05:00:00,1.921
2018-10-12 06:00:00,1.9
2018-10-12 07:00:00,1.9
2018-10-12 08:00:00,1.9
2018-10-12 09:00:00,1.9
2018-10-12 10:00:00,1.9
2018-10-12 11:00:00,1.9
2018-10-12 12:00:00,1.9
2018-10-12 13:00:00,1.9
2018-10-12 14:00:00,1.9
2018-10-12 15:00:00,1.9
2018-10-12 16:00:00,1.9
2018-10-12 17:00:00,1.9
2018-10-12 18:00:00,1.9
2018-10-12 19:00:00,1.9
2018-10-12 20:00:00,1.898
2018-10-12 21:00:00,1.811
2018-10-12 22:00:00,1.8
2018-10-12 23:00:00,1.8
2018-10-13 00:00:00,1.8
2018-10-13 01:00:00,1.8
2018-10-13 02:00:00,1.8
2018-10-13 03:00:00,1.8
2018-10-13 04:00:00,1.8
2018-10-13 05:00:00,1.8
2018-10-13 06:00:00,1.8
2018-10-13 07:00:00,1.8
2018-10-13 08:00:00,1.8
2018-10-13 09:00:00,1.8
2018-10-13 10:00:00,1.8
2018-10-13 11:00:00,1.8
2018-10-13 12:00:00,1.8
2018-10-13 13:00:00,1.8
2018-10-13 14:00:00,1.8
2018-10-13 15:00:00,1.8
2018-10-13 16:00:00,1.8
2018-10-13 17:00:00,1.8
2018-10-13 18:00:00,1.8
2018-10-13 19:00:00,1.8
2018-10-13 20:00:00,1.8
2018-10-13 21:00:00,1.8
2018-10-13 22:00:00,1.8
2018-10-13 23:00:00,1.8
2018-10-14 00:00:00,1.8
2018-10-14 01:00:00,1.8
2018-10-14 02:00:00,1.8
2018-10-14 03:00:00,1.746
2018-10-14 04:00:00,1.7
2018-10-14 05:00:00,1.7
2018-10-14 06:00:00,1.7
2018-10-14 07:00:00,1.7
2018-10-14 08:00:00,1.7
2018-10-14 09:00:00,1.7
2018-10-14 10:00:00,1.7
2018-10-14 11:00:00,1.7
2018-10-14 12:00:00,1.7
2018-10-14 13:00:00,1.7
2018-10-14 14:00:00,1.7
2018-10-14 15:00:00,1.7
2018-10-14 16:00:00,1.7
2018-10-14 17:00:00,1.7
2018-10-14 18:00:00,1.7
2018-10-14 19:00:00,1.7
2018-10-14 20:00:00,1.7
2018-10-14 21:00:00,1.7
2018-10-14 22:00:00,1.7
2018-10-14 23:00:00,1.7
2018-10-15 00:00:00,1.7
2018-10-15 01:00:00,1.7
2018-10-15 02:00:00,1.7
2018-10-15 03:00:00,1.7
2018-10-15 04:00:00,1.7
2018-10-15 05:00:00,1.7
2018-10-15 06:00:00,1.7
2018-10-15 07:00:00,1.7
2018-10-15 08:00:00,1.7
2018-10-15 09:00:00,1.7
2018-10-15 10:00:00,1.7
